Thread,CreationDate,QuestionCount,Post
academia,2021-01-11,24,0
academia,2021-01-18,82,0
academia,2021-01-25,60,0
academia,2021-02-01,80,0
academia,2021-02-08,77,0
academia,2021-02-15,62,0
academia,2021-02-22,76,0
academia,2021-03-01,68,0
academia,2021-03-08,75,0
academia,2021-03-15,89,0
academia,2021-03-22,95,0
academia,2021-03-29,97,0
academia,2021-04-05,51,0
academia,2021-04-12,76,0
academia,2021-04-19,67,0
academia,2021-04-26,76,0
academia,2021-05-03,68,0
academia,2021-05-10,83,0
academia,2021-05-17,86,0
academia,2021-05-24,93,0
academia,2021-05-31,64,0
academia,2021-06-07,69,0
academia,2021-06-14,65,0
academia,2021-06-21,67,0
academia,2021-06-28,76,0
academia,2021-07-05,61,0
academia,2021-07-12,63,0
academia,2021-07-19,76,0
academia,2021-07-26,82,0
academia,2021-08-02,68,0
academia,2021-08-09,79,0
academia,2021-08-16,75,0
academia,2021-08-23,53,0
academia,2021-08-30,72,0
academia,2021-09-06,68,0
academia,2021-09-13,63,0
academia,2021-09-20,69,0
academia,2021-09-27,65,0
academia,2021-10-04,75,0
academia,2021-10-11,76,0
academia,2021-10-18,70,0
academia,2021-10-25,76,0
academia,2021-11-01,78,0
academia,2021-11-08,74,0
academia,2021-11-15,68,0
academia,2021-11-22,65,0
academia,2021-11-29,70,0
academia,2021-12-06,68,0
academia,2021-12-13,79,0
academia,2021-12-20,55,0
academia,2021-12-27,49,0
academia,2022-01-03,54,0
academia,2022-01-10,58,0
academia,2022-01-17,60,0
academia,2022-01-24,52,0
academia,2022-01-31,57,0
academia,2022-02-07,73,0
academia,2022-02-14,59,0
academia,2022-02-21,54,0
academia,2022-02-28,52,0
academia,2022-03-07,43,0
academia,2022-03-14,51,0
academia,2022-03-21,50,0
academia,2022-03-28,43,0
academia,2022-04-04,46,0
academia,2022-04-11,64,0
academia,2022-04-18,39,0
academia,2022-04-25,41,0
academia,2022-05-02,54,0
academia,2022-05-09,56,0
academia,2022-05-16,32,0
academia,2022-05-23,60,0
academia,2022-05-30,45,0
academia,2022-06-06,45,0
academia,2022-06-13,46,0
academia,2022-06-20,45,0
academia,2022-06-27,41,0
academia,2022-07-04,44,0
academia,2022-07-11,42,0
academia,2022-07-18,76,0
academia,2022-07-25,39,0
academia,2022-08-01,43,0
academia,2022-08-08,37,0
academia,2022-08-15,42,0
academia,2022-08-22,60,0
academia,2022-08-29,56,0
academia,2022-09-05,45,0
academia,2022-09-12,66,0
academia,2022-09-19,67,0
academia,2022-09-26,51,0
academia,2022-10-03,48,0
academia,2022-10-10,42,0
academia,2022-10-17,53,0
academia,2022-10-24,68,0
academia,2022-10-31,45,0
academia,2022-11-07,75,0
academia,2022-11-14,29,0
academia,2022-11-21,71,0
academia,2022-11-28,59,0
academia,2022-12-05,60,1
academia,2022-12-12,54,1
academia,2022-12-19,55,1
academia,2022-12-26,30,1
academia,2023-01-02,47,1
academia,2023-01-09,68,1
academia,2023-01-16,49,1
academia,2023-01-23,61,1
academia,2023-01-30,57,1
academia,2023-02-06,58,1
academia,2023-02-13,52,1
academia,2023-02-20,49,1
academia,2023-02-27,56,1
academia,2023-03-06,51,1
academia,2023-03-13,43,1
academia,2023-03-20,69,1
academia,2023-03-27,47,1
academia,2023-04-03,62,1
academia,2023-04-10,60,1
academia,2023-04-17,57,1
academia,2023-04-24,55,1
academia,2023-05-01,57,1
academia,2023-05-08,59,1
academia,2023-05-15,64,1
academia,2023-05-22,56,1
academia,2023-05-29,57,1
academia,2023-06-05,46,1
academia,2023-06-12,43,1
academia,2023-06-19,62,1
academia,2023-06-26,52,1
academia,2023-07-03,57,1
academia,2023-07-10,53,1
academia,2023-07-17,46,1
academia,2023-07-24,53,1
academia,2023-07-31,46,1
academia,2023-08-07,53,1
academia,2023-08-14,55,1
academia,2023-08-21,69,1
academia,2023-08-28,54,1
academia,2023-09-04,58,1
academia,2023-09-11,54,1
academia,2023-09-18,60,1
academia,2023-09-25,70,1
academia,2023-10-02,65,1
academia,2023-10-09,68,1
academia,2023-10-16,62,1
academia,2023-10-23,45,1
academia,2023-10-30,60,1
academia,2023-11-06,50,1
academia,2023-11-13,63,1
academia,2023-11-20,54,1
academia,2023-11-27,62,1
academia,2023-12-04,67,1
academia,2023-12-11,57,1
academia,2023-12-18,37,1
academia,2023-12-25,42,1
academia,2024-01-01,46,1
academia,2024-01-08,77,1
academia,2024-01-15,61,1
academia,2024-01-22,55,1
academia,2024-01-29,46,1
academia,2024-02-05,34,1
academia,2024-02-12,54,1
academia,2024-02-19,39,1
academia,2024-02-26,52,1
academia,2024-03-04,43,1
academia,2024-03-11,41,1
academia,2024-03-18,44,1
academia,2024-03-25,53,1
academia,2024-04-01,43,1
android,2021-01-11,21,0
android,2021-01-18,85,0
android,2021-01-25,84,0
android,2021-02-01,68,0
android,2021-02-08,53,0
android,2021-02-15,86,0
android,2021-02-22,81,0
android,2021-03-01,72,0
android,2021-03-08,64,0
android,2021-03-15,55,0
android,2021-03-22,52,0
android,2021-03-29,58,0
android,2021-04-05,65,0
android,2021-04-12,64,0
android,2021-04-19,50,0
android,2021-04-26,51,0
android,2021-05-03,57,0
android,2021-05-10,46,0
android,2021-05-17,45,0
android,2021-05-24,48,0
android,2021-05-31,57,0
android,2021-06-07,49,0
android,2021-06-14,54,0
android,2021-06-21,41,0
android,2021-06-28,50,0
android,2021-07-05,42,0
android,2021-07-12,40,0
android,2021-07-19,32,0
android,2021-07-26,46,0
android,2021-08-02,38,0
android,2021-08-09,43,0
android,2021-08-16,51,0
android,2021-08-23,47,0
android,2021-08-30,44,0
android,2021-09-06,39,0
android,2021-09-13,62,0
android,2021-09-20,46,0
android,2021-09-27,55,0
android,2021-10-04,43,0
android,2021-10-11,39,0
android,2021-10-18,42,0
android,2021-10-25,50,0
android,2021-11-01,51,0
android,2021-11-08,44,0
android,2021-11-15,54,0
android,2021-11-22,41,0
android,2021-11-29,33,0
android,2021-12-06,48,0
android,2021-12-13,32,0
android,2021-12-20,43,0
android,2021-12-27,34,0
android,2022-01-03,44,0
android,2022-01-10,56,0
android,2022-01-17,46,0
android,2022-01-24,39,0
android,2022-01-31,47,0
android,2022-02-07,45,0
android,2022-02-14,34,0
android,2022-02-21,41,0
android,2022-02-28,41,0
android,2022-03-07,35,0
android,2022-03-14,41,0
android,2022-03-21,35,0
android,2022-03-28,41,0
android,2022-04-04,42,0
android,2022-04-11,31,0
android,2022-04-18,33,0
android,2022-04-25,29,0
android,2022-05-02,34,0
android,2022-05-09,33,0
android,2022-05-16,33,0
android,2022-05-23,28,0
android,2022-05-30,33,0
android,2022-06-06,47,0
android,2022-06-13,45,0
android,2022-06-20,38,0
android,2022-06-27,53,0
android,2022-07-04,41,0
android,2022-07-11,30,0
android,2022-07-18,44,0
android,2022-07-25,37,0
android,2022-08-01,43,0
android,2022-08-08,46,0
android,2022-08-15,47,0
android,2022-08-22,49,0
android,2022-08-29,29,0
android,2022-09-05,29,0
android,2022-09-12,45,0
android,2022-09-19,43,0
android,2022-09-26,36,0
android,2022-10-03,34,0
android,2022-10-10,32,0
android,2022-10-17,47,0
android,2022-10-24,56,0
android,2022-10-31,47,0
android,2022-11-07,36,0
android,2022-11-14,37,0
android,2022-11-21,56,0
android,2022-11-28,39,0
android,2022-12-05,42,1
android,2022-12-12,34,1
android,2022-12-19,31,1
android,2022-12-26,40,1
android,2023-01-02,44,1
android,2023-01-09,51,1
android,2023-01-16,45,1
android,2023-01-23,29,1
android,2023-01-30,34,1
android,2023-02-06,42,1
android,2023-02-13,32,1
android,2023-02-20,32,1
android,2023-02-27,35,1
android,2023-03-06,32,1
android,2023-03-13,25,1
android,2023-03-20,38,1
android,2023-03-27,38,1
android,2023-04-03,35,1
android,2023-04-10,45,1
android,2023-04-17,54,1
android,2023-04-24,44,1
android,2023-05-01,45,1
android,2023-05-08,44,1
android,2023-05-15,50,1
android,2023-05-22,47,1
android,2023-05-29,42,1
android,2023-06-05,31,1
android,2023-06-12,37,1
android,2023-06-19,42,1
android,2023-06-26,40,1
android,2023-07-03,41,1
android,2023-07-10,43,1
android,2023-07-17,55,1
android,2023-07-24,39,1
android,2023-07-31,36,1
android,2023-08-07,47,1
android,2023-08-14,28,1
android,2023-08-21,40,1
android,2023-08-28,26,1
android,2023-09-04,47,1
android,2023-09-11,30,1
android,2023-09-18,45,1
android,2023-09-25,46,1
android,2023-10-02,38,1
android,2023-10-09,53,1
android,2023-10-16,32,1
android,2023-10-23,45,1
android,2023-10-30,40,1
android,2023-11-06,45,1
android,2023-11-13,43,1
android,2023-11-20,35,1
android,2023-11-27,48,1
android,2023-12-04,50,1
android,2023-12-11,31,1
android,2023-12-18,39,1
android,2023-12-25,47,1
android,2024-01-01,46,1
android,2024-01-08,50,1
android,2024-01-15,38,1
android,2024-01-22,47,1
android,2024-01-29,46,1
android,2024-02-05,22,1
android,2024-02-12,38,1
android,2024-02-19,41,1
android,2024-02-26,42,1
android,2024-03-04,35,1
android,2024-03-11,49,1
android,2024-03-18,36,1
android,2024-03-25,36,1
android,2024-04-01,32,1
apple.stackexchange,2021-01-11,54,0
apple.stackexchange,2021-01-18,166,0
apple.stackexchange,2021-01-25,158,0
apple.stackexchange,2021-02-01,151,0
apple.stackexchange,2021-02-08,182,0
apple.stackexchange,2021-02-15,178,0
apple.stackexchange,2021-02-22,166,0
apple.stackexchange,2021-03-01,157,0
apple.stackexchange,2021-03-08,165,0
apple.stackexchange,2021-03-15,187,0
apple.stackexchange,2021-03-22,148,0
apple.stackexchange,2021-03-29,141,0
